Tarih;Acilis;Kapanis
5 Haziran 2023;1.342.01;1.340.94
6 Haziran 2023;1.361.18;1.361.73
7 Haziran 2023;1.450.27;1.450.71
8 Haziran 2023;1.461.78;1.461.04
9 Haziran 2023;1.461.78;1.474.46
12 Haziran 2023;1.487.33;1.486.47
13 Haziran 2023;1.476.65;1.476.91
14 Haziran 2023;1.470.04;1.471.55
15 Haziran 2023;1.489.56;1.488.72
16 Haziran 2023;1.489.56;1.486.42
19 Haziran 2023;1.480.93;1.478.44
20 Haziran 2023;1.467.29;1.466.87
21 Haziran 2023;1.464.40;1.464.35
22 Haziran 2023;1.531.10;1.530.67
23 Haziran 2023;1.531.10;1.559.53
26 Haziran 2023;1.603.82;1.601.81
27 Haziran 2023;1.599.88;1.598.51
28 Haziran 2023;1.596.27;1.596.71
29 Haziran 2023;1.597.72;1.596.48
30 Haziran 2023;1.597.72;1.597.99
3 Temmuz 2023;1.601.10;1.601.70
4 Temmuz 2023;1.608.11;1.608.21
5 Temmuz 2023;1.605.87;1.605.33
6 Temmuz 2023;1.605.87;1.598.18
7 Temmuz 2023;1.602.61;1.612.21
10 Temmuz 2023;1.615.39;1.615.62
11 Temmuz 2023;1.622.30;1.621.08
12 Temmuz 2023;1.643.93;1.644.31
13 Temmuz 2023;1.641.67;1.640.90
14 Temmuz 2023;1.641.67;1.642.76
17 Temmuz 2023;1.655.67;1.655.82
18 Temmuz 2023;1.712.46;1.712.68
19 Temmuz 2023;1.701.28;1.703.25
20 Temmuz 2023;1.694.53;1.694.66
21 Temmuz 2023;1.694.53;1.701.33
24 Temmuz 2023;1.695.93;1.694.05
25 Temmuz 2023;1.700.34;1.700.08
26 Temmuz 2023;1.706.52;1.706.45
27 Temmuz 2023;1.684.46;1.683.88
28 Temmuz 2023;1.684.46;1.693.14
31 Temmuz 2023;1.700.91;1.700.40
1 Ađustos 2023;1.684.19;1.683.85
2 Ađustos 2023;1.677.22;1.674.36
3 Ađustos 2023;1.676.52;1.676.29
4 Ađustos 2023;1.676.52;1.681.49
7 Ađustos 2023;1.680.12;1.676.80
8 Ađustos 2023;1.669.21;1.670.23
9 Ađustos 2023;1.662.34;1.661.44
10 Ađustos 2023;1.660.36;1.659.95
11 Ađustos 2023;1.660.36;1.659.56
14 Ađustos 2023;1.657.35;1.656.13
15 Ađustos 2023;1.653.95;1.654.59
16 Ađustos 2023;1.646.69;1.644.90
17 Ađustos 2023;1.644.93;1.645.10
18 Ađustos 2023;1.644.93;1.644.53
21 Ađustos 2023;1.653.59;1.653.72
22 Ađustos 2023;1.657.86;1.658.57
23 Ađustos 2023;1.674.57;1.674.49
24 Ađustos 2023;1.585.85;1.588.35
25 Ađustos 2023;1.585.85;1.633.82
28 Ađustos 2023;1.635.62;1.633.90
29 Ađustos 2023;1.652.82;1.652.03
30 Ađustos 2023;1.666.49;1.666.41
31 Ađustos 2023;1.664.00;1.664.90
1 Eylül 2023;1.664.00;1.665.01
4 Eylül 2023;1.668.13;1.667.77
5 Eylül 2023;1.657.28;1.657.42
6 Eylül 2023;1.652.54;1.652.50
7 Eylül 2023;1.654.87;1.655.04
8 Eylül 2023;1.654.87;1.655.92
11 Eylül 2023;1.660.98;1.660.76
12 Eylül 2023;1.653.08;1.651.30
13 Eylül 2023;1.653.06;1.651.97
14 Eylül 2023;1.654.18;1.655.40
15 Eylül 2023;1.654.18;1.669.39
18 Eylül 2023;1.679.69;1.679.88
19 Eylül 2023;1.677.77;1.677.44
20 Eylül 2023;1.676.79;1.675.53
21 Eylül 2023;1.675.84;1.673.18
22 Eylül 2023;1.675.84;1.680.29
25 Eylül 2023;1.676.31;1.676.06
26 Eylül 2023;1.663.37;1.663.77
27 Eylül 2023;1.621.36;1.622.24
28 Eylül 2023;1.642.22;1.637.86
29 Eylül 2023;1.642.22;1.627.65
2 Ekim 2023;1.614.39;1.612.40
3 Ekim 2023;1.609.49;1.610.61
4 Ekim 2023;1.614.46;1.612.19
5 Ekim 2023;1.611.69;1.612.64
6 Ekim 2023;1.611.69;1.625.44
9 Ekim 2023;1.656.56;1.657.34
10 Ekim 2023;1.658.45;1.657.77
11 Ekim 2023;1.670.46;1.667.74
12 Ekim 2023;1.666.37;1.666.21
13 Ekim 2023;1.666.37;1.725.74
16 Ekim 2023;1.716.86;1.717.18
17 Ekim 2023;1.728.57;1.728.07
18 Ekim 2023;1.752.26;1.751.44
19 Ekim 2023;1.776.00;1.773.31
20 Ekim 2023;1.776.00;1.780.41
23 Ekim 2023;1.781.04;1.781.65
24 Ekim 2023;1.781.14;1.779.28
25 Ekim 2023;1.789.93;1.788.00
26 Ekim 2023;1.797.14;1.795.52
27 Ekim 2023;1.797.14;1.817.19
30 Ekim 2023;1.814.02;1.811.22
31 Ekim 2023;1.805.73;1.805.11
1 Kasým 2023;1.804.73;1.804.97
2 Kasým 2023;1.809.37;1.808.43
3 Kasým 2023;1.809.37;1.818.47
6 Kasým 2023;1.808.54;1.808.13
7 Kasým 2023;1.803.70;1.803.58
8 Kasým 2023;1.783.47;1.783.34
9 Kasým 2023;1.791.24;1.791.20
10 Kasým 2023;1.791.24;1.777.26
13 Kasým 2023;1.789.51;1.789.67
14 Kasým 2023;1.807.92;1.807.95
15 Kasým 2023;1.806.56;1.806.82
16 Kasým 2023;1.825.85;1.825.22
17 Kasým 2023;1.825.85;1.826.46
20 Kasým 2023;1.826.89;1.827.67
21 Kasým 2023;1.849.50;1.849.76
22 Kasým 2023;1.845.79;1.845.90
23 Kasým 2023;1.844.60;1.847.45
24 Kasým 2023;1.844.60;1.858.22
27 Kasým 2023;1.871.03;1.872.25
28 Kasým 2023;1.897.28;1.897.27
29 Kasým 2023;1.900.97;1.901.95
30 Kasým 2023;1.889.50;1.890.43
1 Aralýk 2023;1.889.50;1.924.11
4 Aralýk 2023;1.884.61;1.884.21
5 Aralýk 2023;1.874.47;1.875.10
6 Aralýk 2023;1.883.90;1.883.63
7 Aralýk 2023;1.886.92;1.886.85
8 Aralýk 2023;1.886.92;1.866.62
11 Aralýk 2023;1.846.56;1.846.69
12 Aralýk 2023;1.845.52;1.845.62
13 Aralýk 2023;1.883.97;1.885.60
14 Aralýk 2023;1.895.89;1.896.36
15 Aralýk 2023;1.895.89;1.880.55
18 Aralýk 2023;1.893.59;1.893.56
19 Aralýk 2023;1.908.54;1.908.44
20 Aralýk 2023;1.908.54;1.901.12
21 Aralýk 2023;1.915.98;1.915.88
22 Aralýk 2023;1.915.98;1.928.59
25 Aralýk 2023;1.925.49;1.924.45
26 Aralýk 2023;1.937.46;1.946.94
27 Aralýk 2023;1.964.03;1.963.66
28 Aralýk 2023;1.955.57;1.955.34
29 Aralýk 2023;1.955.57;1.961.76
1 Ocak 2024;1.957.61;1.957.61
2 Ocak 2024;1.967.76;1.967.70
3 Ocak 2024;1.954.09;1.953.47
4 Ocak 2024;1.954.84;1.954.97
5 Ocak 2024;1.954.84;1.961.02
8 Ocak 2024;1.947.29;1.947.23
9 Ocak 2024;1.951.94;1.951.78
10 Ocak 2024;1.948.53;1.949.24
11 Ocak 2024;1.955.33;1.955.15
12 Ocak 2024;1.955.33;1.981.47
15 Ocak 2024;1.988.52;1.989.24
16 Ocak 2024;1.963.31;1.963.03
17 Ocak 2024;1.943.46;1.943.41
18 Ocak 2024;1.959.81;1.959.61
19 Ocak 2024;1.959.81;1.969.85
22 Ocak 2024;1.965.72;1.965.97
23 Ocak 2024;1.970.54;1.970.84
24 Ocak 2024;1.955.67;1.956.02
25 Ocak 2024;1.963.51;1.964.80
26 Ocak 2024;1.963.51;1.953.68
29 Ocak 2024;1.982.74;1.983.13
30 Ocak 2024;1.986.72;1.986.86
31 Ocak 2024;1.984.12;1.984.64
1 Ţubat 2024;2.004.55;2.004.86
2 Ţubat 2024;2.004.55;1.996.20
5 Ţubat 2024;1.989.72;1.989.27
6 Ţubat 2024;1.999.89;1.999.84
7 Ţubat 2024;2.001.64;2.000.85
8 Ţubat 2024;1.999.65;1.999.58
9 Ţubat 2024;1.999.65;1.997.32
12 Ţubat 2024;1.995.02;1.994.75
13 Ţubat 2024;1.967.38;1.967.22
14 Ţubat 2024;1.967.92;1.968.23
15 Ţubat 2024;1.979.84;1.980.11
16 Ţubat 2024;1.979.84;1.995.21
19 Ţubat 2024;2.000.24;1.999.03
20 Ţubat 2024;2.012.04;2.011.95
21 Ţubat 2024;2.018.22;2.018.12
22 Ţubat 2024;2.016.97;2.017.05
23 Ţubat 2024;2.016.97;2.032.57
26 Ţubat 2024;2.032.36;2.032.31
27 Ţubat 2024;2.033.10;2.032.90
28 Ţubat 2024;2.040.55;2.040.37
29 Ţubat 2024;2.052.93;2.052.61
1 Mart 2024;2.052.93;2.100.98
4 Mart 2024;2.148.80;2.148.76
5 Mart 2024;2.163.13;2.162.95
6 Mart 2024;2.192.46;2.193.05
7 Mart 2024;2.207.03;2.208.41
8 Mart 2024;2.207.03;2.234.01
11 Mart 2024;2.246.98;2.247.63
12 Mart 2024;2.225.57;2.225.08
13 Mart 2024;2.241.56;2.240.11
14 Mart 2024;2.234.63;2.234.10
15 Mart 2024;2.234.63;2.227.09
18 Mart 2024;2.243.42;2.244.08
19 Mart 2024;2.244.83;2.244.77
20 Mart 2024;2.272.86;2.275.80
21 Mart 2024;2.242.97;2.246.73
22 Mart 2024;2.242.97;2.225.80
25 Mart 2024;2.244.37;2.243.37
26 Mart 2024;2.253.75;2.254.28
27 Mart 2024;2.276.91;2.277.16
28 Mart 2024;2.320.34;2.321.16
29 Mart 2024;2.320.34;2.327.74
1 Nisan 2024;2.335.93;2.333.49
2 Nisan 2024;2.350.85;2.349.79
3 Nisan 2024;2.363.41;2.363.49
4 Nisan 2024;2.350.15;2.349.66
5 Nisan 2024;2.350.15;2.398.41
8 Nisan 2024;2.407.51;2.406.75
9 Nisan 2024;2.438.99;2.437.55
10 Nisan 2024;2.438.99;2.423.45
11 Nisan 2024;2.459.76;2.462.28
12 Nisan 2024;2.459.76;2.438.65
15 Nisan 2024;2.483.55;2.483.89
16 Nisan 2024;2.483.55;2.490.88
17 Nisan 2024;2.482.04;2.459.86
18 Nisan 2024;0;2.486.97
19 Nisan 2024;2.487.37;2.499.53
22 Nisan 2024;2.498.01;2.431.34
23 Nisan 2024;2.432.82;2.430.12
24 Nisan 2024;2.430.16;2.423.18
25 Nisan 2024;2.422.06;2.436.05
26 Nisan 2024;2.437.81;2.438.67
29 Nisan 2024;2.438.67;2.436.11
30 Nisan 2024;2.440.14;2.380.73
1 Mayýs 2024;2.380.82;2.422.72
2 Mayýs 2024;2.422.67;2.396.95
3 Mayýs 2024;2.397.04;2.393.53
6 Mayýs 2024;2.393.69;2.409.28
7 Mayýs 2024;2.408.75;2.398.76
8 Mayýs 2024;2.399.77;2.393.22
9 Mayýs 2024;2.389.34;2.432.58
10 Mayýs 2024;2.435.15;2.444.47
13 Mayýs 2024;2.446.49;2.424.95
14 Mayýs 2024;2.424.71;2.446.30
15 Mayýs 2024;2.446.33;2.467.75
16 Mayýs 2024;2.467.55;2.466.23
17 Mayýs 2024;2.465.85;2.500.70
20 Mayýs 2024;2.503.28;2.510.40
21 Mayýs 2024;2.508.02;2.504.32
22 Mayýs 2024;2.500.98;2.460.92
23 Mayýs 2024;2.462.22;2.409.90
24 Mayýs 2024;0;2.418.47
27 Mayýs 2024;2.418.51;2.429.40
28 Mayýs 2024;2.429.28;2.446.85
29 Mayýs 2024;2.445.02;2.421.52
30 Mayýs 2024;2.423.13;2.426.89
31 Mayýs 2024;2.424.72;2.412.19
3 Haziran 2024;2.412.41;2.431.83
4 Haziran 2024;2.431.02;2.434.11
5 Haziran 2024;2.437.06;2.439.89
6 Haziran 2024;2.441.77;2.461.73
7 Haziran 2024;2.459.27;2.382.47
10 Haziran 2024;2.382.55;2.401.58
11 Haziran 2024;2.402.75;2.409.29
12 Haziran 2024;2.409.93;2.415.18
13 Haziran 2024;2.413.72;2.391.04
14 Haziran 2024;2.393.73;2.457.99
17 Haziran 2024;2.457.95;2.446.91
18 Haziran 2024;2.445.27;2.435.38
19 Haziran 2024;2.435.24;2.432.59
20 Haziran 2024;2.433.46;2.489.87
21 Haziran 2024;2.489.54;2.450.67
24 Haziran 2024;2.451.20;2.469.41
25 Haziran 2024;2.470.40;2.456.49
26 Haziran 2024;2.456.27;2.424.45
27 Haziran 2024;2.424.99;2.457.30
28 Haziran 2024;2.456.34;2.450.33
1 Temmuz 2024;2.453.29;2.447.73
2 Temmuz 2024;2.447.20;2.436.52
3 Temmuz 2024;2.435.67;2.464.70
4 Temmuz 2024;2.465.42;2.466.00
5 Temmuz 2024;2.467.09;2.511.53
8 Temmuz 2024;2.511.16;2.478.27
9 Temmuz 2024;2.478.32;2.496.74
10 Temmuz 2024;2.496.65;2.500.43
11 Temmuz 2024;2.503.71;2.549.49
12 Temmuz 2024;2.549.52;2.561.47
15 Temmuz 2024;2.561.63;2.568.41
16 Temmuz 2024;2.568.98;2.621.63
17 Temmuz 2024;2.623.89;2.614.32
18 Temmuz 2024;2.613.49;2.599.51
19 Temmuz 2024;2.600.17;2.551.00
22 Temmuz 2024;2.551.08;2.534.69
23 Temmuz 2024;2.535.75;2.544.38
24 Temmuz 2024;2.545.03;2.528.54
25 Temmuz 2024;2.527.28;2.508.40
26 Temmuz 2024;2.505.68;2.529.05
29 Temmuz 2024;2.529.23;2.535.90
30 Temmuz 2024;2.535.81;2.563.67
31 Temmuz 2024;2.565.44;2.608.47
1 Ađustos 2024;2.609.33;2.602.92
2 Ađustos 2024;2.603.01;2.608.81
5 Ađustos 2024;2.609.95;2.584.44
6 Ađustos 2024;2.585.00;2.580.96
7 Ađustos 2024;2.582.14;2.562.24
8 Ađustos 2024;2.561.83;2.613.68
9 Ađustos 2024;2.610.89;2.618.26
12 Ađustos 2024;2.618.31;2.670.35
13 Ađustos 2024;2.669.87;2.657.99
14 Ađustos 2024;2.658.13;2.643.14
15 Ađustos 2024;2.643.72;2.654.97
16 Ađustos 2024;2.656.89;2.716.54
19 Ađustos 2024;2.717.21;2.717.00
20 Ađustos 2024;2.717.65;2.736.87
21 Ađustos 2024;2.738.36;2.734.81
22 Ađustos 2024;2.736.17;2.707.49
23 Ađustos 2024;2.707.50;2.745.10
26 Ađustos 2024;2.745.01;2.751.16
27 Ađustos 2024;2.752.18;2.760.32
28 Ađustos 2024;2.759.84;2.741.18
29 Ađustos 2024;2.743.02;2.762.26
30 Ađustos 2024;0;2.742.20
2 Eylül 2024;2.742.35;2.722.65
3 Eylül 2024;2.721.85;2.724.31
4 Eylül 2024;2.725.10;2.727.10
5 Eylül 2024;2.728.63;2.745.84
6 Eylül 2024;2.746.75;2.728.39
9 Eylül 2024;2.729.02;2.743.55
10 Eylül 2024;2.743.95;2.753.83
11 Eylül 2024;2.751.55;2.742.46
12 Eylül 2024;2.743.61;2.787.24
13 Eylül 2024;2.787.98;2.809.65
16 Eylül 2024;2.807.39;2.825.14
17 Eylül 2024;2.823.08;2.815.88
18 Eylül 2024;2.815.83;2.803.37
19 Eylül 2024;2.803.62;2.827.90
20 Eylül 2024;2.829.29;2.875.03
23 Eylül 2024;2.876.48;2.885.40
24 Eylül 2024;2.884.18;2.914.59
25 Eylül 2024;2.915.32;2.915.49
26 Eylül 2024;2.915.90;2.933.40
27 Eylül 2024;2.934.45;2.920.22
30 Eylül 2024;2.920.31;2.894.38
1 Ekim 2024;0;2.929.50
2 Ekim 2024;2.929.58;2.920.56
3 Ekim 2024;2.923.83;2.915.85
4 Ekim 2024;2.913.08;2.921.56
7 Ekim 2024;2.921.59;2.909.62
8 Ekim 2024;2.910.29;2.888.43
9 Ekim 2024;2.887.06;2.868.90
10 Ekim 2024;2.869.47;2.890.89
11 Ekim 2024;2.888.21;2.928.22
14 Ekim 2024;2.928.26;2.917.45
15 Ekim 2024;2.918.18;2.927.63
16 Ekim 2024;2.927.09;2.936.90
17 Ekim 2024;2.937.45;2.954.53
18 Ekim 2024;0;2.995.42
21 Ekim 2024;2.983.36;2.992.21
22 Ekim 2024;2.992.76;3.028.05
23 Ekim 2024;3.028.04;2.992.79
24 Ekim 2024;2.992.32;3.011.29
25 Ekim 2024;3.011.17;3.029.35
28 Ekim 2024;3.029.28;3.023.93
29 Ekim 2024;3.024.00;3.057.43
30 Ekim 2024;3.056.85;3.070.04
31 Ekim 2024;0;3.021.36
1 Kasým 2024;3.020.75;3.018.55
4 Kasým 2024;3.020.13;3.022.81
5 Kasým 2024;3.023.04;3.023.54
6 Kasým 2024;3.021.18;2.924.46
7 Kasým 2024;2.924.44;2.976.07
8 Kasým 2024;2.976.48;2.968.42
11 Kasým 2024;2.967.15;2.893.61
12 Kasým 2024;2.894.45;2.871.86
13 Kasým 2024;2.873.09;2.842.93
14 Kasým 2024;2.843.33;2.834.34
15 Kasým 2024;2.834.18;2.837.00
18 Kasým 2024;2.831.98;2.899.50
19 Kasým 2024;2.899.96;2.919.34
20 Kasým 2024;2.920.05;2.935.19
21 Kasým 2024;0;2.962.17
22 Kasým 2024;2.962.47;3.005.46
25 Kasým 2024;3.004.74;2.918.05
26 Kasým 2024;2.918.13;2.931.59
27 Kasým 2024;2.931.49;2.937.05
28 Kasým 2024;2.936.80;2.934.72
29 Kasým 2024;2.934.78;2.961.83
2 Aralýk 2024;2.962.33;2.943.47
3 Aralýk 2024;2.943.68;2.950.91
4 Aralýk 2024;2.950.99;2.958.85
5 Aralýk 2024;2.959.03;2.934.73
6 Aralýk 2024;2.934.51;2.942.91
9 Aralýk 2024;2.943.58;2.975.99
10 Aralýk 2024;2.975.98;3.015.56
11 Aralýk 2024;3.015.49;3.046.06
12 Aralýk 2024;3.046.05;3.006.67
13 Aralýk 2024;3.006.53;2.975.32
16 Aralýk 2024;2.974.97;2.980.31
17 Aralýk 2024;2.980.46;2.973.85
18 Aralýk 2024;2.974.00;2.920.20
19 Aralýk 2024;2.920.80;2.929.97
20 Aralýk 2024;2.930.15;2.968.40
23 Aralýk 2024;2.967.78;2.954.54
24 Aralýk 2024;0;2.959.16
25 Aralýk 2024;2.959.28;2.963.23
26 Aralýk 2024;2.963.54;2.977.99
27 Aralýk 2024;2.977.93;2.956.54
30 Aralýk 2024;2.958.50;2.961.71
31 Aralýk 2024;2.961.74;2.983.37
1 Ocak 2025;2.983.35;2.984.70
2 Ocak 2025;2.984.48;3.021.24
3 Ocak 2025;3.021.10;3.000.80
6 Ocak 2025;2.998.82;2.990.51
7 Ocak 2025;2.990.47;3.011.39
8 Ocak 2025;3.011.27;3.026.39
9 Ocak 2025;3.026.56;3.032.51
10 Ocak 2025;3.032.50;3.064.70
13 Ocak 2025;3.064.23;3.037.72
14 Ocak 2025;3.037.69;3.053.10
15 Ocak 2025;3.053.39;3.074.65
16 Ocak 2025;3.074.47;3.093.32
17 Ocak 2025;3.093.43;3.081.85
20 Ocak 2025;3.077.85;3.099.37
21 Ocak 2025;3.099.35;3.141.17
22 Ocak 2025;3.141.04;3.159.38
23 Ocak 2025;3.159.38;3.155.34
24 Ocak 2025;3.155.14;3.178.91
27 Ocak 2025;3.179.30;3.150.67
28 Ocak 2025;3.150.76;3.175.87
29 Ocak 2025;3.176.09;3.170.37
30 Ocak 2025;3.170.56;3.215.72
31 Ocak 2025;3.215.74;3.228.24
3 Ţubat 2025;3.230.09;3.257.66
4 Ţubat 2025;3.258.12;3.286.19
5 Ţubat 2025;3.286.35;3.304.65
6 Ţubat 2025;3.304.48;3.295.78
7 Ţubat 2025;3.296.24;3.308.28
10 Ţubat 2025;3.308.91;3.365.40
11 Ţubat 2025;3.365.07;3.358.05
12 Ţubat 2025;3.357.98;3.367.66
13 Ţubat 2025;3.367.67;3.399.01
14 Ţubat 2025;3.398.77;3.360.84
17 Ţubat 2025;3.359.51;3.377.40
18 Ţubat 2025;3.377.42;3.421.11
19 Ţubat 2025;3.421.50;3.425.78
20 Ţubat 2025;3.426.07;3.429.01
21 Ţubat 2025;3.429.05;3.438.13
24 Ţubat 2025;3.438.80;3.456.90
25 Ţubat 2025;3.456.87;3.413.06
26 Ţubat 2025;3.413.23;3.418.23
27 Ţubat 2025;3.417.77;3.365.85
28 Ţubat 2025;3.366.24;3.349.90
3 Mart 2025;3.351.11;3.377.95
4 Mart 2025;3.386.93;3.418.27
5 Mart 2025;3.418.30;3.422.60
6 Mart 2025;3.421.87;3.404.89
7 Mart 2025;3.404.82;3.412.14
10 Mart 2025;3.413.55;3.395.32
11 Mart 2025;3.395.28;3.430.38
12 Mart 2025;3.430.94;3.451.58
13 Mart 2025;3.452.24;3.518.72
14 Mart 2025;3.518.15;3.516.44
17 Mart 2025;3.516.58;3.536.32
18 Mart 2025;3.536.95;3.580.22
19 Mart 2025;3.580.12;3.705.31
20 Mart 2025;3.718.32;3.702.80
21 Mart 2025;3.701.86;3.679.30
24 Mart 2025;3.679.18;3.677.92
25 Mart 2025;3.677.98;3.687.90
26 Mart 2025;3.687.75;3.688.60
27 Mart 2025;3.688.05;3.731.06
28 Mart 2025;3.731.48;3.768.01
31 Mart 2025;3.768.24;3.811.35
1 Nisan 2025;3.811.64;3.799.58
2 Nisan 2025;3.797.99;3.826.79
3 Nisan 2025;3.826.63;3.796.78
4 Nisan 2025;3.796.89;3.710.58
7 Nisan 2025;3.710.23;3.641.24
8 Nisan 2025;3.641.48;3.635.97
9 Nisan 2025;3.637.77;3.765.11
10 Nisan 2025;3.765.29;3.871.73
11 Nisan 2025;3.871.89;3.959.33
14 Nisan 2025;3.959.50;3.926.67
15 Nisan 2025;3.926.47;3.955.03
16 Nisan 2025;3.956.16;4.098.76
17 Nisan 2025;4.098.76;4.063.43
18 Nisan 2025;4.063.43;4.076.87
21 Nisan 2025;4.076.75;4.209.41
22 Nisan 2025;4.208.91;4.160.82
23 Nisan 2025;4.160.91;4.098.99
24 Nisan 2025;4.099.33;4.129.56
25 Nisan 2025;4.129.56;4.100.03
28 Nisan 2025;4.100.54;4.132.52
29 Nisan 2025;4.132.29;4.105.46
30 Nisan 2025;4.104.34;4.069.86
1 Mayýs 2025;4.070.77;4.003.87
2 Mayýs 2025;4.004.35;4.018.80
5 Mayýs 2025;4.019.21;4.134.18
6 Mayýs 2025;4.134.50;4.265.31
7 Mayýs 2025;4.265.54;4.182.70
8 Mayýs 2025;4.182.70;4.103.89
9 Mayýs 2025;4.103.89;4.143.57
12 Mayýs 2025;4.144.73;4.034.66
13 Mayýs 2025;4.035.28;4.053.59
14 Mayýs 2025;4.053.59;3.961.14
15 Mayýs 2025;3.961.32;4.033.56
16 Mayýs 2025;4.033.42;4.001.01
19 Mayýs 2025;4.001.37;4.029.92
20 Mayýs 2025;4.029.82;4.109.06
21 Mayýs 2025;4.109.06;4.142.89
22 Mayýs 2025;4.143.20;4.123.27
23 Mayýs 2025;4.123.72;4.204.13
26 Mayýs 2025;4.207.50;4.185.94
27 Mayýs 2025;4.186.34;4.137.59
28 Mayýs 2025;4.137.55;4.133.13
29 Mayýs 2025;4.133.01;4.172.07
30 Mayýs 2025;4.172.22;4.148.96
2 Haziran 2025;4.146.56;4.262.77
3 Haziran 2025;4.262.81;4.221.89
4 Haziran 2025;4.221.89;4.247.00
5 Haziran 2025;4.247.00;4.236.92
6 Haziran 2025;4.236.34;4.177.02
9 Haziran 2025;4.177.26;4.198.41
10 Haziran 2025;4.197.14;4.196.79
11 Haziran 2025;4.188.70;4.223.64
12 Haziran 2025;4.224.65;4.284.33
13 Haziran 2025;4.284.33;4.328.32
16 Haziran 2025;4.336.77;4.284.61
17 Haziran 2025;4.284.25;4.301.19
18 Haziran 2025;4.300.70;4.281.14
19 Haziran 2025;4.281.12;4.291.18
20 Haziran 2025;4.292.10;4.297.26
23 Haziran 2025;4.299.76;4.291.04
24 Haziran 2025;4.290.90;4.230.34
25 Haziran 2025;4.230.26;4.259.90
26 Haziran 2025;4.260.30;4.255.99
27 Haziran 2025;4.255.99;4.200.55
30 Haziran 2025;4.200.96;4.228.06
1 Temmuz 2025;4.228.06;4.274.81
2 Temmuz 2025;4.275.99;4.294.76
3 Temmuz 2025;4.294.76;4.259.41
4 Temmuz 2025;4.260.71;4.274.48
7 Temmuz 2025;4.276.04;4.289.22
8 Temmuz 2025;4.289.48;4.250.49
9 Temmuz 2025;4.250.67;4.266.63
10 Temmuz 2025;4.266.76;4.283.32
11 Temmuz 2025;4.284.34;4.335.04
14 Temmuz 2025;4.336.57;4.319.18
15 Temmuz 2025;4.319.34;4.298.06
16 Temmuz 2025;4.297.74;4.332.24
17 Temmuz 2025;4.333.44;4.326.65
18 Temmuz 2025;4.326.71;4.350.44
21 Temmuz 2025;4.350.72;4.411.45
22 Temmuz 2025;4.412.21;4.458.28
23 Temmuz 2025;4.458.31;4.406.16
24 Temmuz 2025;4.406.67;4.413.79
25 Temmuz 2025;4.413.60;4.352.20
28 Temmuz 2025;4.351.91;4.322.59
29 Temmuz 2025;4.321.55;4.340.01
30 Temmuz 2025;4.340.11;4.273.94
31 Temmuz 2025;4.274.28;4.299.60
1 Ađustos 2025;4.299.19;4.395.45
4 Ađustos 2025;4.394.29;4.410.88
5 Ađustos 2025;4.410.92;4.421.37
6 Ađustos 2025;4.421.34;4.402.91
7 Ađustos 2025;4.403.28;4.434.65
8 Ađustos 2025;4.434.26;4.444.48
11 Ađustos 2025;4.443.93;4.375.51
12 Ađustos 2025;4.375.12;4.384.52
13 Ađustos 2025;4.384.52;4.399.73
14 Ađustos 2025;4.399.78;4.378.32
15 Ađustos 2025;4.376.27;4.383.41
18 Ađustos 2025;4.382.42;4.380.65
19 Ađustos 2025;4.380.75;4.386.03
20 Ađustos 2025;4.386.03;4.406.99
21 Ađustos 2025;4.407.08;4.394.58
22 Ađustos 2025;4.395.22;4.443.92
25 Ađustos 2025;4.443.89;4.436.31
26 Ađustos 2025;4.436.30;4.478.38
27 Ađustos 2025;4.478.89;4.482.79
28 Ađustos 2025;4.482.06;4.509.25
29 Ađustos 2025;4.509.50;4.561.39
1 Eylül 2025;4.561.48;4.597.02
2 Eylül 2025;4.597.82;4.674.88
3 Eylül 2025;4.675.00;4.710.81
4 Eylül 2025;4.710.81;4.691.80
5 Eylül 2025;4.691.89;4.758.68
7 Eylül 2025;4.691.89;4.755.62
8 Eylül 2025;4.756.85;4.822.93
9 Eylül 2025;4.823.38;4.810.75
10 Eylül 2025;4.810.66;4.831.36
11 Eylül 2025;4.831.46;4.828.27
12 Eylül 2025;4.828.27;4.845.64
15 Eylül 2025;4.844.55;4.884.83
16 Eylül 2025;4.884.73;4.892.64
17 Eylül 2025;4.892.64;4.857.02
18 Eylül 2025;4.857.04;4.838.29
19 Eylül 2025;4.838.35;4.903.41
22 Eylül 2025;4.904.83;4.983.51
23 Eylül 2025;4.983.55;5.009.45
24 Eylül 2025;5.009.55;4.978.88
25 Eylül 2025;4.979.72;5.002.78
26 Eylül 2025;5.000.86;5.025.55
29 Eylül 2025;5.025.41;5.126.09
30 Eylül 2025;5.126.05;5.159.77
1 Ekim 2025;5.159.77;5.166.14
2 Ekim 2025;5.167.70;5.158.16
3 Ekim 2025;5.157.64;5.209.75
6 Ekim 2025;5.209.24;5.309.65
7 Ekim 2025;5.308.70;5.341.70
8 Ekim 2025;5.341.72;5.417.34
9 Ekim 2025;5.417.85;5.337.97
10 Ekim 2025;5.339.54;5.404.54
13 Ekim 2025;5.401.17;5.524.71
14 Ekim 2025;5.524.84;5.569.19
15 Ekim 2025;5.569.81;5.661.29
16 Ekim 2025;5.660.67;5.822.34
17 Ekim 2025;0;5.727.34
20 Ekim 2025;5.727.33;5.876.17
21 Ekim 2025;5.868.02;5.567.53
22 Ekim 2025;5.568.00;5.531.03
23 Ekim 2025;5.531.55;5.573.45
24 Ekim 2025;5.574.28;5.545.35
27 Ekim 2025;5.545.78;5.362.22
